Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Bains Country Estates Mobile Home Park,Arsenic,3.40 ppb,0.004 ppb,10 ppb
Bains Country Estates Mobile Home Park,Cadmium,0.167 ppb,0.04 ppb,5 ppb
Bains Country Estates Mobile Home Park,"Radium, combined (-226 &amp; -228)",2.67 pCi/L,0.05 pCi/L,5 pCi/L
Bains Country Estates Mobile Home Park,Barium,51.4 ppb,700 ppb,"2,000 ppb"
Bains Country Estates Mobile Home Park,Fluoride,0.383 ppm,,4 ppm
Bains Country Estates Mobile Home Park,Manganese,19.7 ppb,100 ppb,
Bains Country Estates Mobile Home Park,Uranium,0.20 pCi/L,0.43 pCi/L,20 pCi/L
Bains Country Estates Mobile Home Park,None,,,
Cascade Waterworks,Bromodichloromethane,1.15 ppb,0.06 ppb,
Cascade Waterworks,Chloroform,8.93 ppb,0.4 ppb,
Cascade Waterworks,Dichloroacetic acid,4.70 ppb,0.2 ppb,
Cascade Waterworks,Haloacetic acids (HAA5)†,9.68 ppb,0.1 ppb,60 ppb
Cascade Waterworks,"Radium, combined (-226 &amp; -228)",0.16 pCi/L,0.05 pCi/L,5 pCi/L
Cascade Waterworks,Total trihalomethanes (TTHMs)†,13.7 ppb,0.15 ppb,80 ppb
Cascade Waterworks,Trichloroacetic acid,4.85 ppb,0.1 ppb,
Cascade Waterworks,Aluminum,26.1 ppb,600 ppb,
Cascade Waterworks,Barium,91.6 ppb,700 ppb,"2,000 ppb"
Cascade Waterworks,Bromomethane,0.186 ppb,,
Cascade Waterworks,Chloromethane,3.70 ppb,2.69 ppb,
Cascade Waterworks,Chromium (total),0.510 ppb,,100 ppb
Cascade Waterworks,Dibromochloromethane,0.180 ppb,0.1 ppb,
Cascade Waterworks,Fluoride,0.257 ppm,,4 ppm
Cascade Waterworks,Manganese,10.6 ppb,100 ppb,
Cascade Waterworks,Monochloroacetic acid,0.133 ppb,53 ppb,
Cascade Waterworks,Toluene,0.0463 ppb,150 ppb,"1,000 ppb"
Cascade Waterworks,None,,,
Cedar Grove Water Company,Nitrate,0.315 ppm,0.14 ppm,10 ppm
Cedar Grove Water Company,Barium,10.3 ppb,700 ppb,"2,000 ppb"
Cedar Grove Water Company,Chromium (total),0.940 ppb,,100 ppb
Cedar Grove Water Company,Fluoride,0.0730 ppm,,4 ppm
Cedar Grove Water Company,None,,,
Elkhart Lake Waterworks,Arsenic,1.22 ppb,0.004 ppb,10 ppb
Elkhart Lake Waterworks,Bromodichloromethane,2.01 ppb,0.06 ppb,
Elkhart Lake Waterworks,Chloroform,4.18 ppb,0.4 ppb,
Elkhart Lake Waterworks,Dibromoacetic acid,0.120 ppb,0.04 ppb,
Elkhart Lake Waterworks,Dibromochloromethane,0.836 ppb,0.1 ppb,
Elkhart Lake Waterworks,Dichloroacetic acid,1.09 ppb,0.2 ppb,
Elkhart Lake Waterworks,Haloacetic acids (HAA5)†,2.43 ppb,0.1 ppb,60 ppb
Elkhart Lake Waterworks,"Radium, combined (-226 &amp; -228)",1.15 pCi/L,0.05 pCi/L,5 pCi/L
Elkhart Lake Waterworks,Total trihalomethanes (TTHMs)†,7.94 ppb,0.15 ppb,80 ppb
Elkhart Lake Waterworks,Trichloroacetic acid,1.22 ppb,0.1 ppb,
Elkhart Lake Waterworks,Barium,86.8 ppb,700 ppb,"2,000 ppb"
Elkhart Lake Waterworks,Fluoride,0.0733 ppm,,4 ppm
Elkhart Lake Waterworks,Manganese,19.5 ppb,100 ppb,
Elkhart Lake Waterworks,Nitrate,0.0101 ppm,0.14 ppm,10 ppm
Elkhart Lake Waterworks,None,,,
Glenbeulah Waterworks,Bromodichloromethane,2.12 ppb,0.06 ppb,
Glenbeulah Waterworks,Chloroform,3.42 ppb,0.4 ppb,
Glenbeulah Waterworks,Dibromoacetic acid,0.425 ppb,0.04 ppb,
Glenbeulah Waterworks,Dibromochloromethane,1.54 ppb,0.1 ppb,
Glenbeulah Waterworks,Dichloroacetic acid,1.40 ppb,0.2 ppb,
Glenbeulah Waterworks,Haloacetic acids (HAA5)†,2.16 ppb,0.1 ppb,60 ppb
Glenbeulah Waterworks,Nitrate,2.98 ppm,0.14 ppm,10 ppm
Glenbeulah Waterworks,Nitrate and nitrite,1.95 ppm,0.14 ppm,10 ppm
Glenbeulah Waterworks,"Radium, combined (-226 &amp; -228)",0.58 pCi/L,0.05 pCi/L,5 pCi/L
Glenbeulah Waterworks,Total trihalomethanes (TTHMs)†,10.8 ppb,0.15 ppb,80 ppb
Glenbeulah Waterworks,Trichloroacetic acid,0.335 ppb,0.1 ppb,
Glenbeulah Waterworks,Aluminum,5.00 ppb,600 ppb,
Glenbeulah Waterworks,Barium,22.5 ppb,700 ppb,"2,000 ppb"
Glenbeulah Waterworks,Bromoform,0.460 ppb,0.5 ppb,
Glenbeulah Waterworks,Chromium (total),0.545 ppb,,100 ppb
Glenbeulah Waterworks,Fluoride,0.0685 ppm,,4 ppm
Glenbeulah Waterworks,Manganese,3.20 ppb,100 ppb,
Glenbeulah Waterworks,Uranium,0.24 pCi/L,0.43 pCi/L,20 pCi/L
Glenbeulah Waterworks,None,,,
Kettle Moraine Correctional Institution,Arsenic,2.18 ppb,0.004 ppb,10 ppb
Kettle Moraine Correctional Institution,Bromodichloromethane,0.672 ppb,0.06 ppb,
Kettle Moraine Correctional Institution,Dibromoacetic acid,0.340 ppb,0.04 ppb,
Kettle Moraine Correctional Institution,Dibromochloromethane,0.507 ppb,0.1 ppb,
Kettle Moraine Correctional Institution,Haloacetic acids (HAA5)†,0.703 ppb,0.1 ppb,60 ppb
Kettle Moraine Correctional Institution,Nitrate,0.869 ppm,0.14 ppm,10 ppm
Kettle Moraine Correctional Institution,Nitrate and nitrite,0.885 ppm,0.14 ppm,10 ppm
Kettle Moraine Correctional Institution,"Radium, combined (-226 &amp; -228)",0.90 pCi/L,0.05 pCi/L,5 pCi/L
Kettle Moraine Correctional Institution,Total trihalomethanes (TTHMs)†,1.48 ppb,0.15 ppb,80 ppb
Kettle Moraine Correctional Institution,Barium,52.3 ppb,700 ppb,"2,000 ppb"
Kettle Moraine Correctional Institution,Chloroform,0.726 ppb,0.4 ppb,
Kettle Moraine Correctional Institution,Dichloroacetic acid,0.250 ppb,0.2 ppb,
Kettle Moraine Correctional Institution,Fluoride,0.0853 ppm,,4 ppm
Kettle Moraine Correctional Institution,Manganese,10.1 ppb,100 ppb,
Kettle Moraine Correctional Institution,Trichloroacetic acid,0.113 ppb,0.1 ppb,
Kettle Moraine Correctional Institution,None,,,
Kohler Waterworks,Arsenic*,0.0833 ppb,0.004 ppb,10 ppb
Kohler Waterworks,Bromodichloromethane,7.86 ppb,0.06 ppb,
Kohler Waterworks,Chloroform,12.6 ppb,0.4 ppb,
Kohler Waterworks,Chromium (hexavalent)*,0.201 ppb,0.02 ppb,
Kohler Waterworks,Dibromoacetic acid,0.516 ppb,0.04 ppb,
Kohler Waterworks,Dibromochloromethane,3.36 ppb,0.1 ppb,
Kohler Waterworks,Dichloroacetic acid,4.89 ppb,0.2 ppb,
Kohler Waterworks,Haloacetic acids (HAA5)†,18.2 ppb,0.1 ppb,60 ppb
Kohler Waterworks,Haloacetic acids (HAA9)*†,23.0 ppb,0.06 ppb,
Kohler Waterworks,Nitrate*,0.392 ppm,0.14 ppm,10 ppm
Kohler Waterworks,Nitrate and nitrite*,0.392 ppm,0.14 ppm,10 ppm
Kohler Waterworks,Total trihalomethanes (TTHMs)†,24.1 ppb,0.15 ppb,80 ppb
Kohler Waterworks,Trichloroacetic acid,6.77 ppb,0.1 ppb,
Kohler Waterworks,Antimony*,0.0883 ppb,1 ppb,6 ppb
Kohler Waterworks,Atrazine*,0.0400 ppb,0.1 ppb,3 ppb
Kohler Waterworks,Barium*,18.8 ppb,700 ppb,"2,000 ppb"
Kohler Waterworks,Bromoform,0.216 ppb,0.5 ppb,
Kohler Waterworks,Chlorate*,74.0 ppb,210 ppb,
Kohler Waterworks,Chromium (total)*,0.176 ppb,,100 ppb
Kohler Waterworks,Dalapon*,0.370 ppb,,200 ppb
Kohler Waterworks,Fluoride*,0.629 ppm,,4 ppm
Kohler Waterworks,Hexachlorocyclopentadiene*,0.0200 ppb,2 ppb,50 ppb
Kohler Waterworks,Manganese*,0.453 ppb,100 ppb,
Kohler Waterworks,Molybdenum*,0.463 ppb,40 ppb,
Kohler Waterworks,Monobromoacetic acid,0.172 ppb,25 ppb,
Kohler Waterworks,Monochloroacetic acid,5.84 ppb,53 ppb,
Kohler Waterworks,Selenium*,0.1000 ppb,30 ppb,50 ppb
Kohler Waterworks,Strontium*,0.119 ppb,"1,500 ppb",
Kohler Waterworks,Vanadium*,0.300 ppb,21 ppb,
Lakeland University,Arsenic,3.03 ppb,0.004 ppb,10 ppb
Lakeland University,Bromodichloromethane,4.27 ppb,0.06 ppb,
Lakeland University,Chloroform,27.7 ppb,0.4 ppb,
Lakeland University,Dibromoacetic acid,0.315 ppb,0.04 ppb,
Lakeland University,Dibromochloromethane,1.53 ppb,0.1 ppb,
Lakeland University,Dichloroacetic acid,5.06 ppb,0.2 ppb,
Lakeland University,Haloacetic acids (HAA5)†,10.8 ppb,0.1 ppb,60 ppb
Lakeland University,"Radium, combined (-226 &amp; -228)",0.78 pCi/L,0.05 pCi/L,5 pCi/L
Lakeland University,Total trihalomethanes (TTHMs)†,41.6 ppb,0.15 ppb,80 ppb
Lakeland University,Trichloroacetic acid,2.02 ppb,0.1 ppb,
Lakeland University,Barium,42.8 ppb,700 ppb,"2,000 ppb"
Lakeland University,Bromoform,0.1000 ppb,0.5 ppb,
Lakeland University,Di(2-ethylhexyl) phthalate,0.630 ppb,3 ppb,6 ppb
Lakeland University,Ethylbenzene,0.0838 ppb,300 ppb,700 ppb
Lakeland University,Fluoride,0.186 ppm,,4 ppm
Lakeland University,Manganese,19.5 ppb,100 ppb,
Lakeland University,Mercury (inorganic),0.0500 ppb,1.2 ppb,2 ppb
Lakeland University,Monobromoacetic acid,0.0938 ppb,25 ppb,
Lakeland University,Monochloroacetic acid,3.32 ppb,53 ppb,
Lakeland University,Nitrate,0.0788 ppm,0.14 ppm,10 ppm
Lakeland University,Nitrate and nitrite,0.0434 ppm,0.14 ppm,10 ppm
Lakeland University,Selenium,0.200 ppb,30 ppb,50 ppb
Lakeland University,Uranium,0.63 pCi/L,0.43 pCi/L,20 pCi/L
Lakeland University,Xylenes (total),0.413 ppb,"1,800 ppb","10,000 ppb"
Lakeland University,None,,,
Oostburg Waterworks,Arsenic,3.97 ppb,0.004 ppb,10 ppb
Oostburg Waterworks,Bromodichloromethane,7.67 ppb,0.06 ppb,
Oostburg Waterworks,Chloroform,9.53 ppb,0.4 ppb,
Oostburg Waterworks,Dibromoacetic acid,1.24 ppb,0.04 ppb,
Oostburg Waterworks,Dibromochloromethane,5.47 ppb,0.1 ppb,
Oostburg Waterworks,Dichloroacetic acid,2.38 ppb,0.2 ppb,
Oostburg Waterworks,Haloacetic acids (HAA5)†,5.47 ppb,0.1 ppb,60 ppb
Oostburg Waterworks,Total trihalomethanes (TTHMs)†,23.4 ppb,0.15 ppb,80 ppb
Oostburg Waterworks,Trichloroacetic acid,1.73 ppb,0.1 ppb,
Oostburg Waterworks,Aluminum,100.0 ppb,600 ppb,
Oostburg Waterworks,Barium,23.8 ppb,700 ppb,"2,000 ppb"
Oostburg Waterworks,Bromoform,0.717 ppb,0.5 ppb,
Oostburg Waterworks,Cadmium,0.0433 ppb,0.04 ppb,5 ppb
Oostburg Waterworks,Chromium (total),0.167 ppb,,100 ppb
Oostburg Waterworks,Fluoride,0.710 ppm,,4 ppm
Oostburg Waterworks,Manganese,18.0 ppb,100 ppb,
Oostburg Waterworks,Monobromoacetic acid,0.112 ppb,25 ppb,
Oostburg Waterworks,Nitrate,0.0125 ppm,0.14 ppm,10 ppm
Oostburg Waterworks,Silver,0.0733 ppb,,
Oostburg Waterworks,Uranium,0.18 pCi/L,0.43 pCi/L,20 pCi/L
Oostburg Waterworks,None,,,
Plymouth Utilities,Arsenic,0.696 ppb,0.004 ppb,10 ppb
Plymouth Utilities,Bromodichloromethane,1.99 ppb,0.06 ppb,
Plymouth Utilities,Chloroform,4.10 ppb,0.4 ppb,
Plymouth Utilities,Dibromoacetic acid,0.157 ppb,0.04 ppb,
Plymouth Utilities,Dibromochloromethane,1.01 ppb,0.1 ppb,
Plymouth Utilities,Dichloroacetic acid,1.31 ppb,0.2 ppb,
Plymouth Utilities,Haloacetic acids (HAA5)†,3.93 ppb,0.1 ppb,60 ppb
Plymouth Utilities,Nitrate,1.53 ppm,0.14 ppm,10 ppm
Plymouth Utilities,Nitrate and nitrite,1.96 ppm,0.14 ppm,10 ppm
Plymouth Utilities,"Radium, combined (-226 &amp; -228)",0.75 pCi/L,0.05 pCi/L,5 pCi/L
Plymouth Utilities,Total trihalomethanes (TTHMs)†,24.3 ppb,0.15 ppb,80 ppb
Plymouth Utilities,Trichloroacetic acid,2.46 ppb,0.1 ppb,
Plymouth Utilities,Barium,43.7 ppb,700 ppb,"2,000 ppb"
Plymouth Utilities,Bromoform,0.161 ppb,0.5 ppb,
Plymouth Utilities,Chloromethane,0.0352 ppb,2.69 ppb,
Plymouth Utilities,Fluoride,0.624 ppm,,4 ppm
Plymouth Utilities,Manganese,9.01 ppb,100 ppb,
Plymouth Utilities,Selenium,0.579 ppb,30 ppb,50 ppb
Plymouth Utilities,Uranium,0.43 pCi/L,0.43 pCi/L,20 pCi/L
Plymouth Utilities,None,,,
Random Lake Waterworks,Arsenic,0.890 ppb,0.004 ppb,10 ppb
Random Lake Waterworks,Bromodichloromethane,1.03 ppb,0.06 ppb,
Random Lake Waterworks,Chloroform,2.24 ppb,0.4 ppb,
Random Lake Waterworks,Dibromoacetic acid,0.0867 ppb,0.04 ppb,
Random Lake Waterworks,Dibromochloromethane,0.450 ppb,0.1 ppb,
Random Lake Waterworks,Dichloroacetic acid,1.67 ppb,0.2 ppb,
Random Lake Waterworks,Haloacetic acids (HAA5)†,3.01 ppb,0.1 ppb,60 ppb
Random Lake Waterworks,"Radium, combined (-226 &amp; -228)",1.95 pCi/L,0.05 pCi/L,5 pCi/L
Random Lake Waterworks,Total trihalomethanes (TTHMs)†,4.13 ppb,0.15 ppb,80 ppb
Random Lake Waterworks,Trichloroacetic acid,1.20 ppb,0.1 ppb,
Random Lake Waterworks,Barium,37.8 ppb,700 ppb,"2,000 ppb"
Random Lake Waterworks,Fluoride,0.363 ppm,,4 ppm
Random Lake Waterworks,Manganese,6.00 ppb,100 ppb,
Random Lake Waterworks,Monobromoacetic acid,0.0550 ppb,25 ppb,
Random Lake Waterworks,Nitrate and nitrite,0.0423 ppm,0.14 ppm,10 ppm
Random Lake Waterworks,Silver,0.305 ppb,,
Random Lake Waterworks,None,,,
Rocky Knoll Health Care Fac,Bromodichloromethane,1.72 ppb,0.06 ppb,
Rocky Knoll Health Care Fac,Chloroform,2.01 ppb,0.4 ppb,
Rocky Knoll Health Care Fac,Dibromoacetic acid,0.350 ppb,0.04 ppb,
Rocky Knoll Health Care Fac,Dibromochloromethane,0.700 ppb,0.1 ppb,
Rocky Knoll Health Care Fac,Dichloroacetic acid,2.26 ppb,0.2 ppb,
Rocky Knoll Health Care Fac,Haloacetic acids (HAA5)†,5.17 ppb,0.1 ppb,60 ppb
Rocky Knoll Health Care Fac,Nitrate,0.336 ppm,0.14 ppm,10 ppm
Rocky Knoll Health Care Fac,Nitrate and nitrite,0.580 ppm,0.14 ppm,10 ppm
Rocky Knoll Health Care Fac,"Radium, combined (-226 &amp; -228)",1.91 pCi/L,0.05 pCi/L,5 pCi/L
Rocky Knoll Health Care Fac,Total trihalomethanes (TTHMs)†,4.62 ppb,0.15 ppb,80 ppb
Rocky Knoll Health Care Fac,Trichloroacetic acid,0.270 ppb,0.1 ppb,
Rocky Knoll Health Care Fac,Barium,20.3 ppb,700 ppb,"2,000 ppb"
Rocky Knoll Health Care Fac,Bromoform,0.200 ppb,0.5 ppb,
Rocky Knoll Health Care Fac,Fluoride,0.128 ppm,,4 ppm
Rocky Knoll Health Care Fac,Manganese,0.650 ppb,100 ppb,
Rocky Knoll Health Care Fac,Monobromoacetic acid,0.180 ppb,25 ppb,
Rocky Knoll Health Care Fac,Monochloroacetic acid,2.11 ppb,53 ppb,
Rocky Knoll Health Care Fac,Selenium,0.425 ppb,30 ppb,50 ppb
Rocky Knoll Health Care Fac,None,,,
Sheboygan Falls Utilities,Arsenic*,0.0833 ppb,0.004 ppb,10 ppb
Sheboygan Falls Utilities,Bromodichloromethane,11.4 ppb,0.06 ppb,
Sheboygan Falls Utilities,Chloroform,24.8 ppb,0.4 ppb,
Sheboygan Falls Utilities,Chromium (hexavalent),0.184 ppb,0.02 ppb,
Sheboygan Falls Utilities,Dibromoacetic acid,0.413 ppb,0.04 ppb,
Sheboygan Falls Utilities,Dibromochloromethane,4.16 ppb,0.1 ppb,
Sheboygan Falls Utilities,Dichloroacetic acid,5.31 ppb,0.2 ppb,
Sheboygan Falls Utilities,Haloacetic acids (HAA5)†,12.7 ppb,0.1 ppb,60 ppb
Sheboygan Falls Utilities,Haloacetic acids (HAA9)†,14.7 ppb,0.06 ppb,
Sheboygan Falls Utilities,Nitrate*,0.392 ppm,0.14 ppm,10 ppm
Sheboygan Falls Utilities,Nitrate and nitrite*,0.392 ppm,0.14 ppm,10 ppm
Sheboygan Falls Utilities,Tetrachloroethylene (perchloroethylene),0.840 ppb,0.06 ppb,5 ppb
Sheboygan Falls Utilities,Total trihalomethanes (TTHMs)†,40.4 ppb,0.15 ppb,80 ppb
Sheboygan Falls Utilities,Trichloroacetic acid,6.73 ppb,0.1 ppb,
Sheboygan Falls Utilities,Antimony*,0.0883 ppb,1 ppb,6 ppb
Sheboygan Falls Utilities,Atrazine*,0.0400 ppb,0.1 ppb,3 ppb
Sheboygan Falls Utilities,Barium*,18.8 ppb,700 ppb,"2,000 ppb"
Sheboygan Falls Utilities,Bromoform,0.124 ppb,0.5 ppb,
Sheboygan Falls Utilities,Chlorate,62.5 ppb,210 ppb,
Sheboygan Falls Utilities,Chloromethane,0.0800 ppb,2.69 ppb,
Sheboygan Falls Utilities,Chromium (total),0.231 ppb,,100 ppb
Sheboygan Falls Utilities,Dalapon*,0.370 ppb,,200 ppb
Sheboygan Falls Utilities,Dichloromethane (methylene chloride),0.210 ppb,4 ppb,5 ppb
Sheboygan Falls Utilities,Ethylbenzene,0.400 ppb,300 ppb,700 ppb
Sheboygan Falls Utilities,Fluoride*,0.629 ppm,,4 ppm
Sheboygan Falls Utilities,Hexachlorocyclopentadiene*,0.0200 ppb,2 ppb,50 ppb
Sheboygan Falls Utilities,Manganese,0.174 ppb,100 ppb,
Sheboygan Falls Utilities,Molybdenum,0.514 ppb,40 ppb,
Sheboygan Falls Utilities,Monobromoacetic acid,0.160 ppb,25 ppb,
Sheboygan Falls Utilities,Monochloroacetic acid,0.0979 ppb,53 ppb,
Sheboygan Falls Utilities,Selenium*,0.1000 ppb,30 ppb,50 ppb
Sheboygan Falls Utilities,Strontium,0.121 ppb,"1,500 ppb",
Sheboygan Falls Utilities,Toluene,0.376 ppb,150 ppb,"1,000 ppb"
Sheboygan Falls Utilities,Vanadium,0.279 ppb,21 ppb,
Sheboygan Falls Utilities,Xylenes (total),0.963 ppb,"1,800 ppb","10,000 ppb"
Sheboygan Falls Utilities,None,,,
Sheboygan Tn Waterworks,Arsenic,1.97 ppb,0.004 ppb,10 ppb
Sheboygan Tn Waterworks,Bromodichloromethane,5.73 ppb,0.06 ppb,
Sheboygan Tn Waterworks,Bromoform,1.95 ppb,0.5 ppb,
Sheboygan Tn Waterworks,Chloroform,3.87 ppb,0.4 ppb,
Sheboygan Tn Waterworks,Dibromoacetic acid,1.75 ppb,0.04 ppb,
Sheboygan Tn Waterworks,Dibromochloromethane,5.92 ppb,0.1 ppb,
Sheboygan Tn Waterworks,Dichloroacetic acid,1.85 ppb,0.2 ppb,
Sheboygan Tn Waterworks,Haloacetic acids (HAA5)†,4.83 ppb,0.1 ppb,60 ppb
Sheboygan Tn Waterworks,Nitrate,0.950 ppm,0.14 ppm,10 ppm
Sheboygan Tn Waterworks,Nitrate and nitrite,0.633 ppm,0.14 ppm,10 ppm
Sheboygan Tn Waterworks,"Radium, combined (-226 &amp; -228)",1.64 pCi/L,0.05 pCi/L,5 pCi/L
Sheboygan Tn Waterworks,Total trihalomethanes (TTHMs)†,17.5 ppb,0.15 ppb,80 ppb
Sheboygan Tn Waterworks,Trichloroacetic acid,0.940 ppb,0.1 ppb,
Sheboygan Tn Waterworks,Barium,47.7 ppb,700 ppb,"2,000 ppb"
Sheboygan Tn Waterworks,Fluoride,0.203 ppm,,4 ppm
Sheboygan Tn Waterworks,Manganese,10.9 ppb,100 ppb,
Sheboygan Tn Waterworks,Monobromoacetic acid,0.283 ppb,25 ppb,
Sheboygan Tn Waterworks,None,,,
Sheboygan Water Utilities,Arsenic,0.0833 ppb,0.004 ppb,10 ppb
Sheboygan Water Utilities,Bromodichloromethane,7.29 ppb,0.06 ppb,
Sheboygan Water Utilities,Chloroform,11.0 ppb,0.4 ppb,
Sheboygan Water Utilities,Chromium (hexavalent),0.201 ppb,0.02 ppb,
Sheboygan Water Utilities,Dibromoacetic acid,0.286 ppb,0.04 ppb,
Sheboygan Water Utilities,Dibromochloromethane,3.25 ppb,0.1 ppb,
Sheboygan Water Utilities,Dichloroacetic acid,4.83 ppb,0.2 ppb,
Sheboygan Water Utilities,Haloacetic acids (HAA5)†,11.0 ppb,0.1 ppb,60 ppb
Sheboygan Water Utilities,Haloacetic acids (HAA9)†,23.0 ppb,0.06 ppb,
Sheboygan Water Utilities,Nitrate,0.392 ppm,0.14 ppm,10 ppm
Sheboygan Water Utilities,Nitrate and nitrite,0.392 ppm,0.14 ppm,10 ppm
Sheboygan Water Utilities,Total trihalomethanes (TTHMs)†,21.7 ppb,0.15 ppb,80 ppb
Sheboygan Water Utilities,Trichloroacetic acid,5.86 ppb,0.1 ppb,
Sheboygan Water Utilities,Antimony,0.0883 ppb,1 ppb,6 ppb
Sheboygan Water Utilities,Atrazine,0.0400 ppb,0.1 ppb,3 ppb
Sheboygan Water Utilities,Barium,18.8 ppb,700 ppb,"2,000 ppb"
Sheboygan Water Utilities,Bromoform,0.142 ppb,0.5 ppb,
Sheboygan Water Utilities,Chlorate,74.0 ppb,210 ppb,
Sheboygan Water Utilities,Chromium (total),0.176 ppb,,100 ppb
Sheboygan Water Utilities,Dalapon,0.370 ppb,,200 ppb
Sheboygan Water Utilities,Fluoride,0.629 ppm,,4 ppm
Sheboygan Water Utilities,Hexachlorocyclopentadiene,0.0200 ppb,2 ppb,50 ppb
Sheboygan Water Utilities,Manganese,0.453 ppb,100 ppb,
Sheboygan Water Utilities,Molybdenum,0.463 ppb,40 ppb,
Sheboygan Water Utilities,Selenium,0.1000 ppb,30 ppb,50 ppb
Sheboygan Water Utilities,Strontium,0.119 ppb,"1,500 ppb",
Sheboygan Water Utilities,Vanadium,0.300 ppb,21 ppb,
Sheboygan Water Utilities,None,,,
Waldo Waterworks,Bromodichloromethane,0.378 ppb,0.06 ppb,
Waldo Waterworks,Chloroform,2.29 ppb,0.4 ppb,
Waldo Waterworks,Dibromochloromethane,0.324 ppb,0.1 ppb,
Waldo Waterworks,Dichloroacetic acid,2.00 ppb,0.2 ppb,
Waldo Waterworks,Haloacetic acids (HAA5)†,2.64 ppb,0.1 ppb,60 ppb
Waldo Waterworks,"Radium, combined (-226 &amp; -228)",0.13 pCi/L,0.05 pCi/L,5 pCi/L
Waldo Waterworks,Total trihalomethanes (TTHMs)†,3.66 ppb,0.15 ppb,80 ppb
Waldo Waterworks,Trichloroacetic acid,0.657 ppb,0.1 ppb,
Waldo Waterworks,Aluminum,100.0 ppb,600 ppb,
Waldo Waterworks,Fluoride,0.173 ppm,,4 ppm
Waldo Waterworks,Manganese,6.95 ppb,100 ppb,
Waldo Waterworks,None,,,
West Bend Water Department,Benzene,0.633 ppb,0.15 ppb,5 ppb
West Bend Water Department,Bromodichloromethane,3.48 ppb,0.06 ppb,
West Bend Water Department,Bromoform,10.5 ppb,0.5 ppb,
West Bend Water Department,Chloroform,0.817 ppb,0.4 ppb,
West Bend Water Department,Dibromoacetic acid,4.33 ppb,0.04 ppb,
West Bend Water Department,Dibromochloromethane,10.2 ppb,0.1 ppb,
West Bend Water Department,Haloacetic acids (HAA5)†,1.80 ppb,0.1 ppb,60 ppb
West Bend Water Department,Nitrate,0.833 ppm,0.14 ppm,10 ppm
West Bend Water Department,"Radium, combined (-226 &amp; -228)",5.47 pCi/L,0.05 pCi/L,5 pCi/L
West Bend Water Department,Total trihalomethanes (TTHMs)†,25.0 ppb,0.15 ppb,80 ppb
West Bend Water Department,"1,2,4-Trimethylbenzene",1.000 ppb,,
West Bend Water Department,Ethylbenzene,1.91 ppb,300 ppb,700 ppb
West Bend Water Department,Manganese,3.70 ppb,100 ppb,
West Bend Water Department,Molybdenum,1.83 ppb,40 ppb,
West Bend Water Department,Monochloroacetic acid,0.500 ppb,53 ppb,
West Bend Water Department,Strontium,0.402 ppb,"1,500 ppb",
West Bend Water Department,Xylenes (total),0.767 ppb,"1,800 ppb","10,000 ppb"
West Bend Water Department,None,,,
Germantown Water Department,Bromodichloromethane,0.650 ppb,0.06 ppb,
Germantown Water Department,Chromium (hexavalent),0.0800 ppb,0.02 ppb,
Germantown Water Department,Dibromochloromethane,0.600 ppb,0.1 ppb,
Germantown Water Department,Haloacetic acids (HAA5)†,1.44 ppb,0.1 ppb,60 ppb
Germantown Water Department,Haloacetic acids (HAA9)†,2.20 ppb,0.06 ppb,
Germantown Water Department,"Radium, combined (-226 &amp; -228)",1.44 pCi/L,0.05 pCi/L,5 pCi/L
Germantown Water Department,Total trihalomethanes (TTHMs)†,8.02 ppb,0.15 ppb,80 ppb
Germantown Water Department,Asbestos,1.60 MFL,,7 MFL
Germantown Water Department,Barium,17.3 ppb,700 ppb,"2,000 ppb"
Germantown Water Department,Bromoform,0.175 ppb,0.5 ppb,
Germantown Water Department,Chlorate,12.8 ppb,210 ppb,
Germantown Water Department,Chloroform,0.0925 ppb,0.4 ppb,
Germantown Water Department,Chromium (total),0.0633 ppb,,100 ppb
Germantown Water Department,Dichloromethane (methylene chloride),0.110 ppb,4 ppb,5 ppb
Germantown Water Department,Fluoride,0.882 ppm,,4 ppm
Germantown Water Department,Manganese,2.61 ppb,100 ppb,
Germantown Water Department,Nitrate,0.243 ppm,0.14 ppm,10 ppm
Germantown Water Department,Strontium,0.0153 ppb,"1,500 ppb",
Germantown Water Department,Thallium,0.0500 ppb,0.1 ppb,2 ppb
Germantown Water Department,None,,,
Beaver Dam Water Company System 1,Arsenic,6.38 ppb,0.004 ppb,10 ppb
Beaver Dam Water Company System 1,Nitrate,0.701 ppm,0.14 ppm,10 ppm
Beaver Dam Water Company System 1,Nitrate and nitrite,0.830 ppm,0.14 ppm,10 ppm
Beaver Dam Water Company System 1,Barium,43.7 ppb,700 ppb,"2,000 ppb"
Beaver Dam Water Company System 1,Chromium (total),1.57 ppb,,100 ppb
Beaver Dam Water Company System 1,Fluoride,0.723 ppm,,4 ppm
Beaver Dam Water Company System 1,None,,,
Hartford Waterworks,Arsenic,0.299 ppb,0.004 ppb,10 ppb
Hartford Waterworks,Bromodichloromethane,1.42 ppb,0.06 ppb,
Hartford Waterworks,Chloroform,1.96 ppb,0.4 ppb,
Hartford Waterworks,Chromium (hexavalent),0.205 ppb,0.02 ppb,
Hartford Waterworks,Dibromoacetic acid,0.676 ppb,0.04 ppb,
Hartford Waterworks,Dibromochloromethane,0.880 ppb,0.1 ppb,
