Utility name,City,People served,Zip
Warren Water Association,"St Helens, OR","Population served:2,050",97016
City of Woodburn,"Woodburn, OR","Population served:24,670",97020
Suburban East Salem WD,"Salem, OR","Population served:13,600",97020
"Silverton, City of","Silverton, OR","Population served:10,325",97020
Stayton Water Supply,"Stayton, OR","Population served:7,830",97020
"Mount Angel, City of","Mt. Angel, OR","Population served:3,450",97020
"Aumsville, City of","Aumsville, OR","Population served:3,945",97020
"Hubbard, City of","Hubbard, OR","Population served:3,304",97020
"Sublimity, City of","Sublimity, OR","Population served:2,760",97020
Grass Valley Water System,Grass Valley,Population served: 170,97029
"Moro, City of",Moro,Population served: 350,97029
Rufus Public Works,Rufus,Population served: 270,97029
"Wasco, City of",Wasco,Population served: 415,97029
McMinnville Water & Light,"Mcminnville, OR","Population served:33,896",97101
City of Newberg,"Newberg, OR","Population served:23,795",97101
City of Dallas,"Dallas, OR","Population served:14,700",97101
"Monmouth, City of","Monmouth, OR","Population served:9,855",97101
Independence Water System,"Independence, OR","Population served:8,600",97101
Arch Cape Water District,Arch Cape,Population served: 150,97102
Burnside Water Association,Astoria,Population served: 315,97102
"Cannon Beach, City of",Cannon Beach,"Population served: 1,710",97102
Elderberry Nehalem Ws,Seaside,Population served: 140,97102
Evergreen Acres,Seaside,Population served: 100,97102
Fernhill Community Water System,Astoria,Population served: 300,97102
Gearhart Water Department,Gearhart,"Population served: 1,465",97102
John Day Water District,Astoria,Population served: 350,97102
Knappa Water Association,Astoria,"Population served: 1,800",97102
Olney-walluski Water Association,Astoria,Population served: 530,97102
Stanley Acres Water Association,Seaside,Population served: 315,97102
Sunset Lake Rv Park,Redmond,Population served: 170,97102
Wauna Water District,Westport,Population served: 188,97102
Westport Heights,Westport,Population served: 90,97102
Westport Water Association,Westport,Population served: 550,97102
Wickiup Water District,Astoria,"Population served: 1,590",97102
Willow Dale Water District,Astoria,Population served: 300,97102
"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97107
Manzanita Water Department,"Manzanita, OR","Population served:3,200",97107
Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97107
Netarts Water District,"Netarts, OR","Population served:1,800",97107
"Nehalem, City of","Nehalem, OR","Population served:1,700",97107
"Sheridan, City of","Sheridan, OR","Population served:6,200",97111
"Lafayette, City of","Lafayette, OR","Population served:4,095",97111
"Dundee, City of","Dundee, OR","Population served:3,356",97111
City of Corvallis,"Corvallis, OR","Population served:56,000",97321
City of Albany,"Albany, OR","Population served:56,100",97321
City of Lebanon,"Lebanon, OR","Population served:15,518",97321
"Sweet Home, City of","Lebanon, OR","Population served:9,065",97321
Philomath Public Works,"Philomath, OR","Population served:4,670",97321
"Harrisburg, City of","Harrisburg, OR","Population served:3,650",97321
Luckiamute Domestic Water Co-op,"Monmouth, OR","Population served:2,738",97321
Lyons Mehama Water District,"Lyons, OR","Population served:1,300",97322
Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97324
Springfield Utility Board,"Springfield, OR","Population served:59,500",97324
Lincoln City Water District,"Lincoln City, OR","Population served:20,830",97324
City of Newport,"Newport, OR","Population served:10,160",97324
"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97324
"Florence, City of","Florence, OR","Population served:8,850",97324
Rainbow Water District,"Springfield, OR","Population served:6,300",97324
Junction City Water Utilities,"Junction City, OR","Population served:3,011",97324
Seal Rock Water District,"Seal Rock, OR","Population served:5,500",97324
Adair Village Water System,Adair,Population served: 875,97330
Alsea County Service District,Corvallis,Population served: 202,97330
Cascade View Estates,Corvallis,Population served: 113,97330
Dumbeck Lane Domestic Water Supply District,Albany,Population served: 250,97330
Fir View Water Company,Albany,Population served: 163,97330
Jackson Creek Water Association,Corvallis,Population served: 41,97330
Knoll Terrace Park,Corvallis,Population served: 452,97330
"Monroe, City of",Monroe,Population served: 615,97330
North Corvallis Mobile Home Park-well #1,Corvallis,Population served: 100,97330
Pioneer Village Water Company,Philomath,Population served: 80,97330
Raintree Estates,Corvallis,Population served: 50,97330
Ridgewood District Improvement Company,Corvallis,Population served: 110,97330
Vineyard Mountain Water,Corvallis,Population served: 325,97330
"Brownsville, City of","Brownsville, OR","Population served:1,670",97333
Mill City Water Department,"Mill City, OR","Population served:1,640",97333
City Of Millersburg,"Lebanon, OR","Population served:1,505",97333
Buell-red Prairie Water District,Sheridan,Population served: 788,97338
"Falls City, City of",Falls City,"Population served: 1,000",97338
Grand Ronde Community Water Association,Grand Ronde,"Population served: 2,500",97338
Orchard Heights Water Association,Lyons,Population served: 500,97338
Perrydale Domestic Water Association,Amity,"Population served: 2,195",97338
Pioneer Park Co-op Inc.,Salem,Population served: 54,97338
Rickreall Water Association,Rickreall,"Population served: 1,650",97338
Rock Creek Water District,Grand Ronde,Population served: 235,97338
Bay Hills Water Association,Newport,Population served: 45,97341
Beverly Beach Water District,Newport,Population served: 152,97341
Carmel Beach Water District,Newport,Population served: 36,97341
"Depoe Bay, City of",Depoe Bay,"Population served: 1,398",97341
Fall Creek Water District,Alsea,Population served: 50,97341
Guptil Subdivision,Otis,Population served: 28,97341
Hiland Water Company - Bear Creek,Newberg,Population served: 275,97341
Hiland Water Company - Boulder Creek,Newberg,Population served: 350,97341
Hiland Water Company - Echo Mountain Park,Newberg,Population served: 362,97341
Hiland Water Company - Riverbend Park Water System,Newberg,Population served: 172,97341
Hiland Water Company - Westwood,Newberg,Population served: 120,97341
Inn At Otter Crest,Otter Rock,Population served: 90,97341
Johnson Creek Water Service,Newberg,Population served: 363,97341
Kernville-gleneden-linc Bch Water District,Gleneden Beach,"Population served: 5,598",97341
Kozy Acres Water System,Waldport,Population served: 40,97341
Lower Siletz Water System,Lincoln City,Population served: 165,97341
Otter Rock Water District,Otter Rock,Population served: 175,97341
Panther Creek Water District,Otis,Population served: 760,97341
Riverside Mobile Park,Seal Rock,Population served: 32,97341
Salmon River Mobile Village,Otis,Population served: 75,97341
Salmon River Rv Park,Otis,Population served: 69,97341
Sea Crest,Newberg,Population served: 72,97341
"Siletz, City of",Siletz,"Population served: 1,200",97341
Sw Lincoln County Water District,Waldport,"Population served: 3,000",97341
Toledo Water Utilities,Toledo,"Population served: 3,645",97341
