Utility name,City,People served,Zip
Westview Mobile Estates,Eugene,Population served: 250,97224
Wolsborn Farms Water District,Hillsboro,Population served: 90,97224
Portland Water Bureau,"Portland, OR","Population served:614,059",97225
Joint Water Commission,"Hillsboro, OR","Population served:397,769",97225
Tualatin Valley Water District,"Beaverton, OR","Population served:222,000",97225
City of Hillsboro,"Hillsboro, OR","Population served:88,243",97225
City of Beaverton,"Beaverton, OR","Population served:70,000",97225
Cty of Gresham,"Gresham, OR","Population served:73,932",97225
Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97225
City of Tigard,"Tigard, OR","Population served:60,236",97225
City of Tualatin,"Tualatin, OR","Population served:26,879",97225
City of Forest Grove,"Forest Grove, OR","Population served:23,080",97225
Burlington Water District,Newberg,Population served: 340,97227
Wapato Moorage Association,Portland,Population served: 74,97227
Manna House Church,Portland,Population served: 300,97227
City of Troutdale,Troutdale,"Population served: 16,020",97227
Corbett Water District,Corbett,"Population served: 3,300",97227
Cty of Gresham,Gresham,"Population served: 73,932",97227
"Fairview, City of",Fairview,"Population served: 9,176",97227
Interlachen Water People's Utility District,Fairview,Population served: 360,97227
Lorna Portland Water LLC,Newberg,Population served: 200,97227
Lusted Water District,Gresham,"Population served: 1,200",97227
Mayfair Moorage Inc.,Portland,Population served: 28,97227
Palatine Hill Water District,Portland,"Population served: 1,500",97227
Sigler Cove Marina,Scappoose,Population served: 150,97227
Pleasant Home Water District,Gresham,"Population served: 1,510",97227
Portland Water Bureau,Portland,"Population served: 614,059",97227
Rockwood People's Utilities Department,Portland,"Population served: 61,082",97227
Rocky Pointe Marina,Portland,Population served: 125,97227
Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97227
Sauvie Island Moorage,Portland,Population served: 96,97227
Terrand Mobile Terrace,Silverton,Population served: 71,97227
Valley View Water District,Newberg,"Population served: 1,034",97227
"Wood Village, City of",Wood Village,"Population served: 3,907",97227
Portland Water Bureau,"Portland, OR","Population served:614,059",97229
Joint Water Commission,"Hillsboro, OR","Population served:397,769",97229
Tualatin Valley Water District,"Beaverton, OR","Population served:222,000",97229
City of Hillsboro,"Hillsboro, OR","Population served:88,243",97229
City of Beaverton,"Beaverton, OR","Population served:70,000",97229
Cty of Gresham,"Gresham, OR","Population served:73,932",97229
Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97229
City of Tigard,"Tigard, OR","Population served:60,236",97229
City of Tualatin,"Tualatin, OR","Population served:26,879",97229
City of Forest Grove,"Forest Grove, OR","Population served:23,080",97229
