,Contaminant_Score,Simpson_Race_DI_score,Simpson_Ethnic_DI_score,Shannon_Race_DI_score_score,Shannon_Ethnic_DI_score,Gini_Index_score,Total,Priority
173,0,1,1,1,1,1,5,1
174,0,1,0,1,0,0,2,0
175,0,1,1,1,1,0,4,1
176,0,1,1,1,1,0,4,1
177,0,1,1,1,1,1,5,1
178,1,1,1,1,1,0,5,1
179,0,1,0,1,0,0,2,0
180,0,1,1,1,1,0,4,1
181,0,1,1,1,1,0,4,1
182,1,1,1,1,1,0,5,1
183,0,1,1,1,1,0,4,1
184,0,1,1,1,1,0,4,1
185,0,1,1,1,1,0,4,1
186,1,1,1,1,1,0,5,1
187,1,1,1,1,1,0,5,1
188,0,1,0,0,0,1,2,0
189,1,1,1,1,1,0,5,1
190,0,1,1,1,1,0,4,1
191,0,1,1,1,1,1,5,1
192,1,1,1,1,1,0,5,1
193,0,1,1,1,1,0,4,1
194,1,1,1,1,1,0,5,1
195,0,1,1,1,1,0,4,1
196,1,1,1,1,1,0,5,1
197,0,1,1,1,1,0,4,1
198,0,1,1,1,1,0,4,1
199,1,1,1,1,1,0,5,1
200,0,1,1,1,1,0,4,1
201,0,1,1,1,1,0,4,1
202,1,1,1,1,1,0,5,1
203,0,1,1,1,1,0,4,1
204,0,1,1,1,1,0,4,1
205,0,1,1,0,1,0,3,0
206,0,1,1,1,1,0,4,1
207,0,1,1,1,1,0,4,1
208,0,0,0,0,0,0,0,0
209,0,1,1,1,1,0,4,1
210,0,1,1,0,1,0,3,0
211,0,1,1,0,1,0,3,0
212,0,1,1,1,1,0,4,1
213,0,1,0,0,0,0,1,0
214,0,1,1,1,1,0,4,1
215,0,0,0,0,0,0,0,0
216,0,1,1,0,1,0,3,0
217,1,1,1,1,1,0,5,1
218,0,1,0,1,0,0,2,0
219,0,1,1,1,1,0,4,1
220,0,1,0,0,0,0,1,0
221,1,1,1,1,1,0,5,1
222,0,1,1,1,1,0,4,1
223,0,1,1,1,1,0,4,1
224,0,1,1,1,1,0,4,1
225,0,1,1,1,1,0,4,1
226,0,1,1,1,1,0,4,1
227,0,1,0,0,0,0,1,0
228,0,1,1,1,1,0,4,1
229,0,1,0,0,0,0,1,0
230,0,1,0,0,0,0,1,0
231,0,1,0,0,0,0,1,0
232,0,1,0,0,0,0,1,0
233,0,1,0,0,0,0,1,0
234,0,1,0,0,0,0,1,0
235,0,1,0,0,0,0,1,0
236,0,1,0,0,0,0,1,0
237,0,1,0,0,0,0,1,0
238,0,1,0,0,0,0,1,0
239,0,1,0,0,0,0,1,0
240,0,1,0,0,0,0,1,0
241,0,1,0,0,0,0,1,0
242,0,1,0,0,0,0,1,0
243,0,1,0,0,0,0,1,0
244,0,1,0,1,0,0,2,0
245,0,1,0,0,0,0,1,0
246,0,1,1,1,1,0,4,1
247,0,1,0,0,1,0,2,0
248,0,1,1,0,1,0,3,0
249,0,1,0,0,0,0,1,0
