Utility name,City,People served,Zip
Pine Grove Water Association,Clarksdale,Population served: 433,38614
Rena Lara Water Association,Rena Lara,Population served: 412,38614
Town of Coahoma,Coahoma,Population served: 325,38614
Town of Friars Point,Friars Point,"Population served: 1,200",38614
Town of Jonestown,Jonestown,"Population served: 1,298",38614
Town of Lula,Lula,Population served: 319,38614
Town of Lyon,Lyon,Population served: 382,38614
Water Association of Moon Lake,Clarksdale,Population served: 500,38614
Clarksdale Public Utilities,"Clarksdale, MS","Population served:17,962",38617
City of Marks,"Marks, MS","Population served:1,738",38617
Coahoma Community College,"Clarksdale, MS","Population served:2,000",38617
Town of Lambert,"Lambert, MS","Population served:1,638",38617
Town of Jonestown,"Jonestown, MS","Population served:1,298",38617
Arkabutla Water Association,Arkabutla,Population served: 445,38618
Back Acres,Senatobia,Population served: 443,38618
City of Senatobia,Senatobia,"Population served: 7,869",38618
Cottonville-savage W/a Inc.,Coldwater,Population served: 300,38618
Crestfield Water Association,Coldwater,Population served: 75,38618
Hidden Valley Light Association,Coldwater,Population served: 59,38618
Looxahoma Water Association,Senatobia,Population served: 665,38618
Oakdale Estates and Lake Suente,Senatobia,Population served: 135,38618
Senatobia Lakes Estates Inc.,Senatobia,Population served: 147,38618
Strayhorn W/a-crockett,Senatobia,"Population served: 2,550",38618
Town of Coldwater,Coldwater,"Population served: 1,600",38618
City of Oxford,"Oxford, MS","Population served:25,000",38619
University of Mississippi,"University, MS","Population served:20,329",38619
City of Batesville,"Batesville, MS","Population served:9,971",38619
City of Senatobia,"Senatobia, MS","Population served:7,869",38619
City of Sardis,"Sardis, MS","Population served:3,395",38619
Strayhorn W/a-crockett,"Senatobia, MS","Population served:2,550",38619
Sardis Lake Community W/a,"Batesville, MS","Population served:2,500",38619
Hotophia Water Association,"Batesville, MS","Population served:2,085",38619
Anchor Water Association,"Oxford, MS","Population served:2,000",38619
Punkin W/a #1,"Oxford, MS","Population served:2,502",38619
Asl Water Association,Sarah,Population served: 710,38620
Chickasaw Hills Subdivision,Batesville,Population served: 173,38620
City of Batesville,Batesville,"Population served: 9,971",38620
City of Sardis,Sardis,"Population served: 3,395",38620
Concord-macedonia W/a,Batesville,Population served: 323,38620
Enid Shores Dev Water Company,Batesville,Population served: 300,38620
Enon-locke-curtis Water Association,Marks,"Population served: 1,447",38620
Eureka Water Association,Courtland,"Population served: 1,172",38620
Hebron Water Association,Sardis,"Population served: 1,111",38620
Hide-a-way Hills Water Company,Batesville,Population served: 119,38620
Hotophia Water Association,Batesville,"Population served: 2,085",38620
