Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Lake Lucille Prop Owners Association,Bromoform,0.353 ppb,0.5 ppb,
Lake Lucille Prop Owners Association,Chloroform,0.127 ppb,0.4 ppb,
Lake Lucille Prop Owners Association,None,,,
Mount Ivy Enterprises,Nitrate,1.70 ppm,0.14 ppm,10 ppm
Mount Ivy Enterprises,None,,,
Nyack Village Water Supply,Bromodichloromethane,17.4 ppb,0.06 ppb,
Nyack Village Water Supply,Chloroform,37.8 ppb,0.4 ppb,
Nyack Village Water Supply,Chromium (hexavalent),0.0449 ppb,0.02 ppb,
Nyack Village Water Supply,Dibromoacetic acid,1.10 ppb,0.04 ppb,
Nyack Village Water Supply,Dibromochloromethane,5.56 ppb,0.1 ppb,
Nyack Village Water Supply,Dichloroacetic acid,15.1 ppb,0.2 ppb,
Nyack Village Water Supply,Haloacetic acids (HAA5)†,29.1 ppb,0.1 ppb,60 ppb
Nyack Village Water Supply,Haloacetic acids (HAA9)†,37.4 ppb,0.06 ppb,
Nyack Village Water Supply,Manganese,372.6 ppb,100 ppb,
Nyack Village Water Supply,Nitrate,0.530 ppm,0.14 ppm,10 ppm
Nyack Village Water Supply,Total trihalomethanes (TTHMs)†,61.0 ppb,0.15 ppb,80 ppb
Nyack Village Water Supply,Trichloroacetic acid,13.0 ppb,0.1 ppb,
Nyack Village Water Supply,Barium,97.3 ppb,700 ppb,"2,000 ppb"
Nyack Village Water Supply,Bromoform,0.302 ppb,0.5 ppb,
Nyack Village Water Supply,Chlorate,215.9 ppb,210 ppb,
Nyack Village Water Supply,Chromium (total),0.106 ppb,,100 ppb
Nyack Village Water Supply,Monobromoacetic acid,0.0880 ppb,25 ppb,
Nyack Village Water Supply,Strontium,0.126 ppb,"1,500 ppb",
Nyack Village Water Supply,Vanadium,0.0300 ppb,21 ppb,
Nyack Village Water Supply,None,,,
"Oak Tree La, Hav Ltd",Nitrate,1.80 ppm,0.14 ppm,10 ppm
"Oak Tree La, Hav Ltd",None,,,
Ananda Village,Arsenic,0.337 ppb,0.004 ppb,10 ppb
Ananda Village,Cadmium,0.320 ppb,0.04 ppb,5 ppb
Ananda Village,Chloroform,10.6 ppb,0.4 ppb,
Ananda Village,Nitrate,0.703 ppm,0.14 ppm,10 ppm
Ananda Village,Nitrate and nitrite,0.885 ppm,0.14 ppm,10 ppm
Ananda Village,"Radium, combined (-226 &amp; -228)",1.56 pCi/L,0.05 pCi/L,5 pCi/L
Ananda Village,Uranium,0.97 pCi/L,0.43 pCi/L,20 pCi/L
Ananda Village,Aluminum,20.4 ppb,600 ppb,
Ananda Village,Barium,23.4 ppb,700 ppb,"2,000 ppb"
Ananda Village,Carbon tetrachloride,0.124 ppb,0.1 ppb,5 ppb
Ananda Village,Chromium (total),0.155 ppb,,100 ppb
Ananda Village,Manganese,6.12 ppb,100 ppb,
Ananda Village,Mercury (inorganic),0.102 ppb,1.2 ppb,2 ppb
Ananda Village,Selenium,0.255 ppb,30 ppb,50 ppb
Ananda Village,Silver,0.609 ppb,,
Ananda Village,None,,,
Pomona Country Club,Bromochloroacetic acid,1.30 ppb,0.02 ppb,
Pomona Country Club,Bromodichloromethane,0.593 ppb,0.06 ppb,
Pomona Country Club,Dibromoacetic acid,0.700 ppb,0.04 ppb,
Pomona Country Club,Dibromochloromethane,0.733 ppb,0.1 ppb,
Pomona Country Club,Haloacetic acids (HAA5)†,0.467 ppb,0.1 ppb,60 ppb
Pomona Country Club,Nitrate,2.11 ppm,0.14 ppm,10 ppm
Pomona Country Club,Nitrate and nitrite,1.41 ppm,0.14 ppm,10 ppm
Pomona Country Club,Total trihalomethanes (TTHMs)†,2.00 ppb,0.15 ppb,80 ppb
Pomona Country Club,Chloroform,0.668 ppb,0.4 ppb,
Pomona Country Club,Nitrite,0.00500 ppm,,1 ppm
Pomona Country Club,None,,,
Pomona Glen,Nitrate,0.973 ppm,0.14 ppm,10 ppm
Pomona Glen,None,,,
St. Marys Villa,Bromoform,2.35 ppb,0.5 ppb,
St. Marys Villa,Dibromoacetic acid,1.37 ppb,0.04 ppb,
St. Marys Villa,Nitrate,1.97 ppm,0.14 ppm,10 ppm
St. Marys Villa,Chloroform,0.259 ppb,0.4 ppb,
St. Marys Villa,None,,,
Sunrise Bungalows,Nitrate,1.81 ppm,0.14 ppm,10 ppm
Sunrise Bungalows,None,,,
Torne Brook Farm,Bromodichloromethane,0.328 ppb,0.06 ppb,
Torne Brook Farm,Nitrate,0.911 ppm,0.14 ppm,10 ppm
Torne Brook Farm,Chloroform,0.341 ppb,0.4 ppb,
Torne Brook Farm,None,,,
United Water New York,Arsenic,1.16 ppb,0.004 ppb,10 ppb
United Water New York,Bromodichloromethane,13.9 ppb,0.06 ppb,
United Water New York,Chloroform,32.9 ppb,0.4 ppb,
United Water New York,Chromium (hexavalent),0.328 ppb,0.02 ppb,
United Water New York,Dibromoacetic acid,0.421 ppb,0.04 ppb,
United Water New York,Dibromochloromethane,3.94 ppb,0.1 ppb,
United Water New York,Dichloroacetic acid,12.7 ppb,0.2 ppb,
United Water New York,Haloacetic acids (HAA5)†,26.7 ppb,0.1 ppb,60 ppb
United Water New York,Haloacetic acids (HAA9)†,36.8 ppb,0.06 ppb,
United Water New York,Nitrate,1.72 ppm,0.14 ppm,10 ppm
United Water New York,Nitrate and nitrite,1.72 ppm,0.14 ppm,10 ppm
United Water New York,"Radium, combined (-226 &amp; -228)",2.21 pCi/L,0.05 pCi/L,5 pCi/L
United Water New York,Tetrachloroethylene (perchloroethylene),0.386 ppb,0.06 ppb,5 ppb
United Water New York,Total trihalomethanes (TTHMs)†,51.2 ppb,0.15 ppb,80 ppb
United Water New York,Trichloroacetic acid,12.7 ppb,0.1 ppb,
United Water New York,Uranium,2.45 pCi/L,0.43 pCi/L,20 pCi/L
United Water New York,"1,1,2-Trichloroethane",0.000803 ppb,0.3 ppb,5 ppb
United Water New York,"1,1-Dichloroethane",0.000142 ppb,3 ppb,
United Water New York,"1,2-Dichloroethane",0.000573 ppb,0.4 ppb,5 ppb
United Water New York,"1,4-Dioxane",0.0256 ppb,0.35 ppb,
United Water New York,1-Butanol ,0.219 ppb,,
United Water New York,Antimony,0.0167 ppb,1 ppb,6 ppb
United Water New York,Barium,216.8 ppb,700 ppb,"2,000 ppb"
United Water New York,Bromoform,0.290 ppb,0.5 ppb,
United Water New York,Chlorate,158.3 ppb,210 ppb,
United Water New York,Chlordane,0.0112 ppb,0.03 ppb,2 ppb
United Water New York,Chlorodifluoromethane,0.00416 ppb,,
United Water New York,Chromium (total),1.90 ppb,,100 ppb
United Water New York,"cis-1,2-Dichloroethylene",0.0881 ppb,,70 ppb
United Water New York,"cis-1,3-Dichloropropene",0.00310 ppb,,
United Water New York,Cyanide,0.207 ppb,,200 ppb
United Water New York,Di(2-ethylhexyl) phthalate,0.0115 ppb,3 ppb,6 ppb
United Water New York,Dieldrin,0.00141 ppb,,
United Water New York,Fluoride,0.0145 ppm,,4 ppm
United Water New York,Manganese,6.52 ppb,100 ppb,
United Water New York,Mercury (inorganic),0.00970 ppb,1.2 ppb,2 ppb
United Water New York,Molybdenum,0.0500 ppb,40 ppb,
United Water New York,Monobromoacetic acid,0.0954 ppb,25 ppb,
United Water New York,Monochloroacetic acid,0.734 ppb,53 ppb,
United Water New York,MTBE,0.00172 ppb,13 ppb,
United Water New York,Nitrite,0.0151 ppm,,1 ppm
United Water New York,Permethrin,0.000727 ppb,,
United Water New York,Selenium,0.0314 ppb,30 ppb,50 ppb
United Water New York,Silver,0.0535 ppb,,
United Water New York,Strontium,0.159 ppb,"1,500 ppb",
United Water New York,Thallium,0.00436 ppb,0.1 ppb,2 ppb
United Water New York,Toluene,0.000689 ppb,150 ppb,"1,000 ppb"
United Water New York,Trichloroethylene,0.0821 ppb,0.4 ppb,5 ppb
United Water New York,Trichlorofluoromethane,0.00608 ppb,"1,300 ppb",
United Water New York,Vanadium,0.793 ppb,21 ppb,
United Water New York,None,,,
Kiryas Joel Village,Arsenic,0.467 ppb,0.004 ppb,10 ppb
Kiryas Joel Village,Chromium (hexavalent),0.0554 ppb,0.02 ppb,
Kiryas Joel Village,Haloacetic acids (HAA5)†,2.84 ppb,0.1 ppb,60 ppb
Kiryas Joel Village,Haloacetic acids (HAA9)†,5.62 ppb,0.06 ppb,
Kiryas Joel Village,Manganese,374.8 ppb,100 ppb,
Kiryas Joel Village,Nitrate,0.788 ppm,0.14 ppm,10 ppm
Kiryas Joel Village,"Radium, combined (-226 &amp; -228)",0.23 pCi/L,0.05 pCi/L,5 pCi/L
Kiryas Joel Village,Total trihalomethanes (TTHMs)†,11.1 ppb,0.15 ppb,80 ppb
Kiryas Joel Village,Barium,34.1 ppb,700 ppb,"2,000 ppb"
Kiryas Joel Village,Chlorate,140.5 ppb,210 ppb,
Kiryas Joel Village,Chromium (total),0.152 ppb,,100 ppb
Kiryas Joel Village,Cobalt,0.1000 ppb,70 ppb,
Kiryas Joel Village,Germanium,0.158 ppb,,
Kiryas Joel Village,Oxamyl (Vydate),0.265 ppb,26 ppb,200 ppb
Kiryas Joel Village,Strontium,0.237 ppb,"1,500 ppb",
Kiryas Joel Village,Uranium,0.57 pCi/L,0.43 pCi/L,20 pCi/L
Kiryas Joel Village,None,,,
Middletown City,Dichloroacetic acid,49.0 ppb,0.2 ppb,
Middletown City,Haloacetic acids (HAA5)†,18.1 ppb,0.1 ppb,60 ppb
Middletown City,Haloacetic acids (HAA9)†,26.9 ppb,0.06 ppb,
Middletown City,Total trihalomethanes (TTHMs)†,39.9 ppb,0.15 ppb,80 ppb
Middletown City,Barium,10.2 ppb,700 ppb,"2,000 ppb"
Middletown City,Chlorate,300.0 ppb,210 ppb,
Middletown City,Chromium (total),0.257 ppb,,100 ppb
Middletown City,Fluoride,0.671 ppm,,4 ppm
Middletown City,Manganese,1.85 ppb,100 ppb,
Middletown City,Monochloroacetic acid,26.0 ppb,53 ppb,
Middletown City,Nitrate,0.0700 ppm,0.14 ppm,10 ppm
Middletown City,Strontium,0.0716 ppb,"1,500 ppb",
Middletown City,None,,,
New Windsor Consolidated WD,Arsenic,0.0739 ppb,0.004 ppb,10 ppb
New Windsor Consolidated WD,Chromium (hexavalent),0.0599 ppb,0.02 ppb,
New Windsor Consolidated WD,Haloacetic acids (HAA5)†,26.9 ppb,0.1 ppb,60 ppb
New Windsor Consolidated WD,Haloacetic acids (HAA9)†,19.2 ppb,0.06 ppb,
New Windsor Consolidated WD,Nitrate,1.08 ppm,0.14 ppm,10 ppm
New Windsor Consolidated WD,Perfluorohexane sulfonate (PFHXS),5.08 ppt,1 ppt,
New Windsor Consolidated WD,Perfluorooctane sulfonate (PFOS),13.4 ppt,1 ppt,
New Windsor Consolidated WD,Perfluorooctanoic acid (PFOA),1.08 ppt,0.007 ppt,
New Windsor Consolidated WD,Total trihalomethanes (TTHMs)†,39.7 ppb,0.15 ppb,80 ppb
New Windsor Consolidated WD,"2,4-D",0.0117 ppb,20 ppb,70 ppb
New Windsor Consolidated WD,Barium,16.3 ppb,700 ppb,"2,000 ppb"
New Windsor Consolidated WD,Chlorate,56.3 ppb,210 ppb,
New Windsor Consolidated WD,Chromium (total),0.102 ppb,,100 ppb
New Windsor Consolidated WD,Dalapon,0.0410 ppb,,200 ppb
New Windsor Consolidated WD,Fluoride,0.0516 ppm,,4 ppm
New Windsor Consolidated WD,Manganese,187.4 ppb,100 ppb,
New Windsor Consolidated WD,Nitrate and nitrite,0.234 ppm,0.14 ppm,10 ppm
New Windsor Consolidated WD,Perfluoroheptanoic acid (PFHPA),1.85 ppt,1 ppt,
New Windsor Consolidated WD,Strontium,0.0386 ppb,"1,500 ppb",
New Windsor Consolidated WD,Uranium,0.08 pCi/L,0.43 pCi/L,20 pCi/L
New Windsor Consolidated WD,Vanadium,0.139 ppb,21 ppb,
New Windsor Consolidated WD,None,,,
Newburgh City,Chromium (hexavalent),0.0633 ppb,0.02 ppb,
Newburgh City,Haloacetic acids (HAA5)†,20.0 ppb,0.1 ppb,60 ppb
Newburgh City,Haloacetic acids (HAA9)†,2.45 ppb,0.06 ppb,
Newburgh City,Perfluoroheptanoic acid (PFHPA),18.5 ppt,1 ppt,
Newburgh City,Perfluorohexane sulfonate (PFHXS),62.8 ppt,1 ppt,
Newburgh City,Perfluorooctane sulfonate (PFOS),150.0 ppt,1 ppt,
Newburgh City,Total trihalomethanes (TTHMs)†,38.5 ppb,0.15 ppb,80 ppb
Newburgh City,Barium,8.97 ppb,700 ppb,"2,000 ppb"
Newburgh City,Chlorate,133.3 ppb,210 ppb,
Newburgh City,Chromium (total),0.0808 ppb,,100 ppb
Newburgh City,Fluoride,0.508 ppm,,4 ppm
Newburgh City,Manganese,1.95 ppb,100 ppb,
Newburgh City,Nitrate,0.0459 ppm,0.14 ppm,10 ppm
Newburgh City,Strontium,0.150 ppb,"1,500 ppb",
Newburgh City,None,,,
Newburgh Consolidated WD,Chromium (hexavalent),0.0713 ppb,0.02 ppb,
Newburgh Consolidated WD,Dichloroacetic acid,23.0 ppb,0.2 ppb,
Newburgh Consolidated WD,Haloacetic acids (HAA5)†,39.6 ppb,0.1 ppb,60 ppb
Newburgh Consolidated WD,Haloacetic acids (HAA9)†,34.5 ppb,0.06 ppb,
Newburgh Consolidated WD,Total trihalomethanes (TTHMs)†,47.2 ppb,0.15 ppb,80 ppb
Newburgh Consolidated WD,Barium,13.2 ppb,700 ppb,"2,000 ppb"
Newburgh Consolidated WD,Chlorate,153.1 ppb,210 ppb,
Newburgh Consolidated WD,Chromium (total),0.0265 ppb,,100 ppb
Newburgh Consolidated WD,Fluoride,0.384 ppm,,4 ppm
Newburgh Consolidated WD,Manganese,5.74 ppb,100 ppb,
Newburgh Consolidated WD,Monochloroacetic acid,29.0 ppb,53 ppb,
Newburgh Consolidated WD,Nitrate,0.109 ppm,0.14 ppm,10 ppm
Newburgh Consolidated WD,Strontium,0.0478 ppb,"1,500 ppb",
Newburgh Consolidated WD,Vanadium,0.0443 ppb,21 ppb,
Newburgh Consolidated WD,None,,,
Wallkill Consolidated WD,Arsenic,0.193 ppb,0.004 ppb,10 ppb
Wallkill Consolidated WD,Chromium (hexavalent),0.119 ppb,0.02 ppb,
Wallkill Consolidated WD,Haloacetic acids (HAA5)†,25.3 ppb,0.1 ppb,60 ppb
Wallkill Consolidated WD,Haloacetic acids (HAA9)†,71.7 ppb,0.06 ppb,
Wallkill Consolidated WD,Nitrate,0.623 ppm,0.14 ppm,10 ppm
Wallkill Consolidated WD,Total trihalomethanes (TTHMs)†,64.4 ppb,0.15 ppb,80 ppb
Wallkill Consolidated WD,"2,4-D",0.00833 ppb,20 ppb,70 ppb
Wallkill Consolidated WD,Antimony,0.0429 ppb,1 ppb,6 ppb
Wallkill Consolidated WD,Barium,38.4 ppb,700 ppb,"2,000 ppb"
Wallkill Consolidated WD,Chlorate,159.5 ppb,210 ppb,
Wallkill Consolidated WD,Chromium (total),0.400 ppb,,100 ppb
Wallkill Consolidated WD,Manganese,1.10 ppb,100 ppb,
Wallkill Consolidated WD,o-toluidine ,0.00240 ppb,,
Wallkill Consolidated WD,Strontium,0.208 ppb,"1,500 ppb",
Wallkill Consolidated WD,Vanadium,0.0764 ppb,21 ppb,
Wallkill Consolidated WD,None,,,
Woodbury Cons. WD,Chromium (hexavalent),0.0497 ppb,0.02 ppb,
Woodbury Cons. WD,Haloacetic acids (HAA5)†,3.76 ppb,0.1 ppb,60 ppb
Woodbury Cons. WD,Haloacetic acids (HAA9)†,10.2 ppb,0.06 ppb,
Woodbury Cons. WD,Nitrate,0.398 ppm,0.14 ppm,10 ppm
Woodbury Cons. WD,Total trihalomethanes (TTHMs)†,20.1 ppb,0.15 ppb,80 ppb
Woodbury Cons. WD,Barium,34.5 ppb,700 ppb,"2,000 ppb"
Woodbury Cons. WD,Chlorate,36.7 ppb,210 ppb,
Woodbury Cons. WD,Chromium (total),0.0157 ppb,,100 ppb
Woodbury Cons. WD,Manganese,14.0 ppb,100 ppb,
Woodbury Cons. WD,Strontium,0.213 ppb,"1,500 ppb",
Woodbury Cons. WD,Trichloroethylene,0.0313 ppb,0.4 ppb,5 ppb
Woodbury Cons. WD,Uranium,0.21 pCi/L,0.43 pCi/L,20 pCi/L
Woodbury Cons. WD,None,,,
Monroe Village,Haloacetic acids (HAA5)†,38.0 ppb,0.1 ppb,60 ppb
Monroe Village,Nitrate,0.923 ppm,0.14 ppm,10 ppm
Monroe Village,Total trihalomethanes (TTHMs)†,57.8 ppb,0.15 ppb,80 ppb
Monroe Village,Barium,11.4 ppb,700 ppb,"2,000 ppb"
Monroe Village,Dalapon,0.0600 ppb,,200 ppb
Monroe Village,Selenium,0.563 ppb,30 ppb,50 ppb
Monroe Village,None,,,
Port Jervis City,Haloacetic acids (HAA5)†,9.89 ppb,0.1 ppb,60 ppb
Port Jervis City,Total trihalomethanes (TTHMs)†,16.0 ppb,0.15 ppb,80 ppb
Port Jervis City,Barium,5.12 ppb,700 ppb,"2,000 ppb"
Port Jervis City,Bromate,0.139 ppb,0.1 ppb,10 ppb
Port Jervis City,None,,,
Passaic Valley Water Commission,Bromodichloromethane,11.2 ppb,0.06 ppb,
Passaic Valley Water Commission,Chloroform,26.6 ppb,0.4 ppb,
Passaic Valley Water Commission,Chromium (hexavalent),0.0689 ppb,0.02 ppb,
Passaic Valley Water Commission,Dibromoacetic acid,0.499 ppb,0.04 ppb,
Passaic Valley Water Commission,Dibromochloromethane,4.67 ppb,0.1 ppb,
Passaic Valley Water Commission,Dichloroacetic acid,11.9 ppb,0.2 ppb,
Passaic Valley Water Commission,Haloacetic acids (HAA5)†,24.0 ppb,0.1 ppb,60 ppb
Passaic Valley Water Commission,Haloacetic acids (HAA9)†,29.9 ppb,0.06 ppb,
Passaic Valley Water Commission,Nitrate,1.67 ppm,0.14 ppm,10 ppm
Passaic Valley Water Commission,Nitrate and nitrite,3.03 ppm,0.14 ppm,10 ppm
Passaic Valley Water Commission,Perfluorooctane sulfonate (PFOS),4.80 ppt,1 ppt,
Passaic Valley Water Commission,Perfluorooctanoic acid (PFOA),6.74 ppt,0.007 ppt,
Passaic Valley Water Commission,Total trihalomethanes (TTHMs)†,42.8 ppb,0.15 ppb,80 ppb
Passaic Valley Water Commission,Trichloroacetic acid,9.17 ppb,0.1 ppb,
Passaic Valley Water Commission,"1,4-Dioxane",0.0350 ppb,0.35 ppb,
Passaic Valley Water Commission,Aluminum,22.3 ppb,600 ppb,
Passaic Valley Water Commission,Barium,19.0 ppb,700 ppb,"2,000 ppb"
Passaic Valley Water Commission,Bromoform,0.311 ppb,0.5 ppb,
Passaic Valley Water Commission,Chlorate,208.0 ppb,210 ppb,
Passaic Valley Water Commission,Chromium (total),0.0739 ppb,,100 ppb
Passaic Valley Water Commission,Di(2-ethylhexyl) phthalate,0.0450 ppb,3 ppb,6 ppb
Passaic Valley Water Commission,Fluoride,0.0538 ppm,,4 ppm
Passaic Valley Water Commission,Manganese,5.97 ppb,100 ppb,
Passaic Valley Water Commission,Monobromoacetic acid,0.653 ppb,25 ppb,
Passaic Valley Water Commission,Monochloroacetic acid,1.78 ppb,53 ppb,
Passaic Valley Water Commission,Perfluorononanoic acid (PFNA),0.0810 ppt,1 ppt,
Passaic Valley Water Commission,Selenium,0.106 ppb,30 ppb,50 ppb
Passaic Valley Water Commission,Strontium,0.0969 ppb,"1,500 ppb",
Passaic Valley Water Commission,Testosterone,0.243 ppt,,
Passaic Valley Water Commission,Thallium,0.0240 ppb,0.1 ppb,2 ppb
Passaic Valley Water Commission,Vanadium,0.0700 ppb,21 ppb,
Passaic Valley Water Commission,None,,,
Wayne Township Division of Water,Bromodichloromethane,9.63 ppb,0.06 ppb,
Wayne Township Division of Water,Chloroform,46.4 ppb,0.4 ppb,
Wayne Township Division of Water,Dibromochloromethane,1.48 ppb,0.1 ppb,
Wayne Township Division of Water,Dichloroacetic acid,11.2 ppb,0.2 ppb,
Wayne Township Division of Water,Haloacetic acids (HAA5)†,28.1 ppb,0.1 ppb,60 ppb
Wayne Township Division of Water,Haloacetic acids (HAA9)†,29.7 ppb,0.06 ppb,
Wayne Township Division of Water,Nitrate*,0.356 ppm,0.14 ppm,10 ppm
Wayne Township Division of Water,Total trihalomethanes (TTHMs)†,57.4 ppb,0.15 ppb,80 ppb
Wayne Township Division of Water,Trichloroacetic acid,15.6 ppb,0.1 ppb,
Wayne Township Division of Water,Aluminum*,44.8 ppb,600 ppb,
Wayne Township Division of Water,Barium*,13.5 ppb,700 ppb,"2,000 ppb"
Wayne Township Division of Water,Butyl benzyl phthalate*,0.305 ppb,,
Wayne Township Division of Water,Chlorate,74.8 ppb,210 ppb,
Wayne Township Division of Water,Chromium (hexavalent),0.00850 ppb,0.02 ppb,
Wayne Township Division of Water,Chromium (total),0.0983 ppb,,100 ppb
Wayne Township Division of Water,Di-n-butyl phthalate*,0.0333 ppb,,
Wayne Township Division of Water,Dibromoacetic acid,0.00547 ppb,0.04 ppb,
Wayne Township Division of Water,Diethyl phthalate*,0.00750 ppb,,
Wayne Township Division of Water,Fluoride*,0.0187 ppm,,4 ppm
Wayne Township Division of Water,Manganese,1.54 ppb,100 ppb,
Wayne Township Division of Water,Methyl isobutyl ketone*,2.06 ppb,,
Wayne Township Division of Water,Monobromoacetic acid,0.00563 ppb,25 ppb,
Wayne Township Division of Water,Monochloroacetic acid,1.30 ppb,53 ppb,
Wayne Township Division of Water,MTBE*,0.0600 ppb,13 ppb,
Wayne Township Division of Water,Strontium,0.0532 ppb,"1,500 ppb",
Wayne Township Division of Water,None,,,
Manchester Utilities Authority,Bromodichloromethane,14.8 ppb,0.06 ppb,
Manchester Utilities Authority,Chloroform,35.9 ppb,0.4 ppb,
Manchester Utilities Authority,Chromium (hexavalent),0.0860 ppb,0.02 ppb,
Manchester Utilities Authority,Dibromoacetic acid,0.770 ppb,0.04 ppb,
Manchester Utilities Authority,Dibromochloromethane,7.01 ppb,0.1 ppb,
Manchester Utilities Authority,Dichloroacetic acid,11.9 ppb,0.2 ppb,
Manchester Utilities Authority,Haloacetic acids (HAA5)†,25.1 ppb,0.1 ppb,60 ppb
Manchester Utilities Authority,Haloacetic acids (HAA9)†,29.4 ppb,0.06 ppb,
Manchester Utilities Authority,Nitrate,1.16 ppm,0.14 ppm,10 ppm
Manchester Utilities Authority,Nitrate and nitrite,1.16 ppm,0.14 ppm,10 ppm
Manchester Utilities Authority,Perfluorooctane sulfonate (PFOS)*,4.80 ppt,1 ppt,
Manchester Utilities Authority,Perfluorooctanoic acid (PFOA)*,6.74 ppt,0.007 ppt,
Manchester Utilities Authority,Total trihalomethanes (TTHMs)†,58.4 ppb,0.15 ppb,80 ppb
Manchester Utilities Authority,Trichloroacetic acid,9.51 ppb,0.1 ppb,
Manchester Utilities Authority,"1,4-Dioxane",0.0638 ppb,0.35 ppb,
Manchester Utilities Authority,Aluminum*,22.3 ppb,600 ppb,
Manchester Utilities Authority,Barium*,19.0 ppb,700 ppb,"2,000 ppb"
Manchester Utilities Authority,Bromoform,0.718 ppb,0.5 ppb,
Manchester Utilities Authority,Chlorate,298.8 ppb,210 ppb,
Manchester Utilities Authority,Chromium (total),0.0263 ppb,,100 ppb
Manchester Utilities Authority,Di(2-ethylhexyl) phthalate*,0.0450 ppb,3 ppb,6 ppb
Manchester Utilities Authority,Fluoride*,0.0538 ppm,,4 ppm
Manchester Utilities Authority,Manganese,10.1 ppb,100 ppb,
Manchester Utilities Authority,Monobromoacetic acid,0.440 ppb,25 ppb,
Manchester Utilities Authority,Monochloroacetic acid,2.44 ppb,53 ppb,
Manchester Utilities Authority,Perfluorononanoic acid (PFNA)*,0.0810 ppt,1 ppt,
Manchester Utilities Authority,Selenium*,0.106 ppb,30 ppb,50 ppb
Manchester Utilities Authority,Strontium,0.111 ppb,"1,500 ppb",
Manchester Utilities Authority,Testosterone*,0.243 ppt,,
Manchester Utilities Authority,Thallium*,0.0240 ppb,0.1 ppb,2 ppb
Manchester Utilities Authority,Vanadium*,0.0700 ppb,21 ppb,
Manchester Utilities Authority,None,,,
Pompton Lakes Mua,Arsenic,1.87 ppb,0.004 ppb,10 ppb
Pompton Lakes Mua,Bromodichloromethane,0.616 ppb,0.06 ppb,
Pompton Lakes Mua,Dibromochloromethane,0.932 ppb,0.1 ppb,
Pompton Lakes Mua,Haloacetic acids (HAA5)†,0.422 ppb,0.1 ppb,60 ppb
Pompton Lakes Mua,Haloacetic acids (HAA9)†,1.42 ppb,0.06 ppb,
Pompton Lakes Mua,Nitrate,0.367 ppm,0.14 ppm,10 ppm
Pompton Lakes Mua,"Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
Pompton Lakes Mua,Total trihalomethanes (TTHMs)†,3.02 ppb,0.15 ppb,80 ppb
Pompton Lakes Mua,Trichloroacetic acid,0.294 ppb,0.1 ppb,
Pompton Lakes Mua,"1,1,1-Trichloroethane",0.347 ppb,,200 ppb
Pompton Lakes Mua,"1,1-Dichloroethane",0.205 ppb,3 ppb,
Pompton Lakes Mua,"1,4-Dioxane",0.355 ppb,0.35 ppb,
Pompton Lakes Mua,Barium,23.5 ppb,700 ppb,"2,000 ppb"
Pompton Lakes Mua,Bromoform,0.762 ppb,0.5 ppb,
Pompton Lakes Mua,Chlorate,13.5 ppb,210 ppb,
Pompton Lakes Mua,Chloroform,0.727 ppb,0.4 ppb,
Pompton Lakes Mua,Chromium (hexavalent),0.0330 ppb,0.02 ppb,
Pompton Lakes Mua,Chromium (total),1.55 ppb,,100 ppb
Pompton Lakes Mua,Dibromoacetic acid,0.00896 ppb,0.04 ppb,
Pompton Lakes Mua,Dichloroacetic acid,0.119 ppb,0.2 ppb,
Pompton Lakes Mua,Fluoride,0.344 ppm,,4 ppm
Pompton Lakes Mua,Manganese,59.6 ppb,100 ppb,
Pompton Lakes Mua,Molybdenum,2.05 ppb,40 ppb,
Pompton Lakes Mua,MTBE,0.0240 ppb,13 ppb,
Pompton Lakes Mua,Strontium,0.248 ppb,"1,500 ppb",
Pompton Lakes Mua,Vanadium,0.113 ppb,21 ppb,
Pompton Lakes Mua,None,,,
Ridgewood Water,Arsenic,1.31 ppb,0.004 ppb,10 ppb
Ridgewood Water,Bromodichloromethane,1.17 ppb,0.06 ppb,
Ridgewood Water,Bromoform,1.06 ppb,0.5 ppb,
Ridgewood Water,Chloroform,1.27 ppb,0.4 ppb,
Ridgewood Water,Chromium (hexavalent),0.398 ppb,0.02 ppb,
Ridgewood Water,Dibromoacetic acid,0.105 ppb,0.04 ppb,
Ridgewood Water,Dibromochloromethane,1.30 ppb,0.1 ppb,
Ridgewood Water,Dichloroacetic acid,1.70 ppb,0.2 ppb,
Ridgewood Water,Haloacetic acids (HAA5)†,2.82 ppb,0.1 ppb,60 ppb
Ridgewood Water,Haloacetic acids (HAA9)†,6.87 ppb,0.06 ppb,
Ridgewood Water,Nitrate,3.99 ppm,0.14 ppm,10 ppm
Ridgewood Water,Nitrate and nitrite,4.08 ppm,0.14 ppm,10 ppm
Ridgewood Water,Perfluorooctane sulfonate (PFOS),5.77 ppt,1 ppt,
Ridgewood Water,Perfluorooctanoic acid (PFOA),17.4 ppt,0.007 ppt,
Ridgewood Water,Total trihalomethanes (TTHMs)†,15.9 ppb,0.15 ppb,80 ppb
Ridgewood Water,Trichloroacetic acid,1.01 ppb,0.1 ppb,
Ridgewood Water,Uranium,0.88 pCi/L,0.43 pCi/L,20 pCi/L
Ridgewood Water,"1,1-Dichloroethane",0 ppb,3 ppb,
Ridgewood Water,"1,4-Dioxane",0.0441 ppb,0.35 ppb,
Ridgewood Water,Aluminum,0.371 ppb,600 ppb,
