Utility name,City,People served,Zip
Ossining Water Department,"Ossining, NY","Population served:30,000",10520
Irvington Water Supply,"Irvington, NY","Population served:6,631",10522
Elmsford Village,"Elmsford, NY","Population served:4,600",10523
Irvington Water Supply,"Irvington, NY","Population served:6,631",10523
Carmel Water District 2,"Mahopac, NY","Population served:5,000",10524
Cold Spring Village,"Cold Spring, NY","Population served:2,666",10524
Brewster Village,"Brewster, NY","Population served:2,440",10524
Carmel Water District 8,"Mahopac, NY","Population served:1,600",10524
Carmel Water District 3,"Mahopac, NY","Population served:1,600",10524
Continental Village Water District,"Cold Spring, NY","Population served:1,509",10524
Watchtower Bible Tract Society,"Patterson, NY","Population served:1,501",10524
Mount Ebo Ws,"Brewster, NY","Population served:1,500",10524
Hill Sparrow Master Homeowners Association,"Croton Falls, NY",Population served:938,10524
Carmel Water District 4,"Mahopac, NY",Population served:700,10524
Goldens Bridge Community Association,"Long Island City, NY",Population served:250,10526
Arbor Hills Water Works,"Merrick, NY",Population served:180,10526
Waccabuc Farms Inc.,"Greenwich, CT",Population served:26,10526
Indian Hill Subdivision,"Merrick, NY",Population served:320,10526
Cale Farms Water Works,"Somers, NY",Population served:212,10527
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10527
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10528
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10530
White Plains City,"White Plains, NY","Population served:59,353",10530
Westchester County Water District #3,"New Rochelle, NY","Population served:6,000",10532
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10532
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10533
Tarrytown Water Supply,"Tarrytown, NY","Population served:11,000",10533
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10533
Lake Katonah Club Inc.,"Goldens Bridge, NY",Population served:356,10536
The Harvey School,"Katonah, NY",Population served:100,10536
Indian Hill Subdivision,"Merrick, NY",Population served:320,10536
Arbor Hills Water Works,"Merrick, NY",Population served:180,10536
Khal Adas Kashau,"Bedford Hills, NY",Population served:650,10536
Four Winds Hospital,"Katonah, NY",Population served:400,10536
Michelle Estates,"Croton Falls, NY",Population served:340,10536
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10536
Carmel Water District 2,"Mahopac, NY","Population served:5,000",10537
Cold Spring Village,"Cold Spring, NY","Population served:2,666",10537
Brewster Village,"Brewster, NY","Population served:2,440",10537
Carmel Water District 8,"Mahopac, NY","Population served:1,600",10537
Carmel Water District 3,"Mahopac, NY","Population served:1,600",10537
Continental Village Water District,"Cold Spring, NY","Population served:1,509",10537
Watchtower Bible Tract Society,"Patterson, NY","Population served:1,501",10537
Mount Ebo Ws,"Brewster, NY","Population served:1,500",10537
Hill Sparrow Master Homeowners Association,"Croton Falls, NY",Population served:938,10537
Carmel Water District 4,"Mahopac, NY",Population served:700,10537
Larchmont Village,"Larchmont, NY","Population served:6,485",10538
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10538
Scarsdale Water Department,"Scarsdale, NY","Population served:20,608",10538
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10540
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10540
Yonkers City,"Yonkers, NY","Population served:196,086",10540
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10540
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10540
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10540
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10540
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10540
White Plains City,"White Plains, NY","Population served:59,353",10540
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10540
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10541
Greenburgh Consolidated Water District #1,"White Plains, NY","Population served:247,405",10541
Yonkers City,"Yonkers, NY","Population served:196,086",10541
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10541
Westchester Joint Water Works,"Mamaroneck, NY","Population served:120,419",10541
Yorktown Consoldated Water District #1,"Yorktown Heights, NY","Population served:68,719",10541
Northern Westchester Joint Water Works,"Somers, NY","Population served:67,469",10541
Mount Vernon Water Department,"Mount Vernon, NY","Population served:67,292",10541
White Plains City,"White Plains, NY","Population served:59,353",10541
United Water Westchester Rate District 2,"New Rochelle, NY","Population served:54,305",10541
Carmel Water District 2,"Mahopac, NY","Population served:5,000",10542
Cold Spring Village,"Cold Spring, NY","Population served:2,666",10542
Brewster Village,"Brewster, NY","Population served:2,440",10542
Carmel Water District 8,"Mahopac, NY","Population served:1,600",10542
Carmel Water District 3,"Mahopac, NY","Population served:1,600",10542
Continental Village Water District,"Cold Spring, NY","Population served:1,509",10542
Watchtower Bible Tract Society,"Patterson, NY","Population served:1,501",10542
Mount Ebo Ws,"Brewster, NY","Population served:1,500",10542
Hill Sparrow Master Homeowners Association,"Croton Falls, NY",Population served:938,10542
Carmel Water District 4,"Mahopac, NY",Population served:700,10542
Scarsdale Water Department,"Scarsdale, NY","Population served:20,608",10543
Kitchawan Water District,"Yorktown Heights, NY",Population served:150,10546
Cortlandt Consolidated WD,"Cortlandt Manor, NY","Population served:28,369",10547
Cortlandt Consolidated WD,"Cortlandt Manor, NY","Population served:28,369",10548
Buchanan Village,"Brewster, NY","Population served:2,200",10548
Peekskill City,"Peekskill, NY","Population served:52,969",10548
Mount Kisco Water Department,"Mount Kisco, NY","Population served:9,620",10549
Yeshiva Farm Settlement,"Brooklyn, NY",Population served:300,10549
Cedar Downs Water District,"Bedford Hills, NY",Population served:195,10549
Ramleh Water Works Corporation Inc.,"Croton Falls, NY",Population served:80,10549
Old Post Road Water District,"Bedford Hills, NY","Population served:1,500",10549
796 Bedford Road Apartments,"Sleepy Hollow, NY",Population served:40,10549
Khal Adas Kashau,"Bedford Hills, NY",Population served:650,10549
Yonkers City,"Yonkers, NY","Population served:196,086",10550
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10550
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10552
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10552
Yonkers City,"Yonkers, NY","Population served:196,086",10552
United Water Westchester Rate District 1,"New Rochelle, NY","Population served:146,723",10553
Salem Chase,"Bedford Village, NY",Population served:175,10560
Westchester County Water District #1,"New Rochelle, NY","Population served:340,839",10560
Salem Acres Association,"North Salem, NY",Population served:138,10560
Bridleside Apartments,"Chappaqua, NY",Population served:230,10560
Cotswold Water Supply,"Croton Falls, NY",Population served:150,10560
Pabst Water Company Inc.,"West Palm Beach, FL",Population served:250,10560
Candlewood Park Water District,"North Salem, NY",Population served:125,10560
Pietschs Gardens,"North Salem, NY",Population served:337,10560
Wild Oaks Water Company,"Merrick, NY",Population served:805,10560
Croton Falls Water District,"North Salem, NY",Population served:216,10560
New Castle/Stanwood WD,"Chappaqua, NY","Population served:28,501",10562
Kitchawan Water District,"Yorktown Heights, NY",Population served:150,10562
Briarcliff Manor Village,"Briarcliff Manor, NY","Population served:9,190",10562
Sunshine Children's Home & Rehab Center,"Ossining, NY",Population served:130,10562
