State,City,Zip,Utility,People served,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit,Units,Contaminant_Factor
ND,Kindred,58002.0,Kindred City of,692,Dibromochloromethane,1.54,0.1,0,ppb,15.4
ND,Kindred,58002.0,Kindred City of,692,Dichloroacetic acid,5.98,0.2,0,ppb,29.900000000000002
ND,Kindred,58002.0,Kindred City of,692,Haloacetic acids (HAA5)†,12.0,0.1,60,ppb,120.0
ND,Kindred,58002.0,Kindred City of,692,Radium combined (-226 &amp; -228)*,0.25,0.05,5,pCi/L,5.0
ND,Kindred,58002.0,Kindred City of,692,Total trihalomethanes (TTHMs)†,21.7,0.15,80,ppb,144.66666666666666
ND,Kindred,58002.0,Kindred City of,692,Trichloroacetic acid,5.02,0.1,0,ppb,50.199999999999996
ND,Kindred,58002.0,Kindred City of,692,Barium*,180.0,700.0,2000,ppb,0.2571428571428571
ND,Kindred,58002.0,Kindred City of,692,Monobromoacetic acid,0.639,25.0,0,ppb,0.02556
ND,Kindred,58002.0,Kindred City of,692,Nitrate and nitrite*,0.25,0.14,10,ppm,1.7857142857142856
ND,Kindred,58002.0,Kindred City of,692,Uranium*,0.47,0.43,20,pCi/L,1.0930232558139534
ND,Mapleton,58002.0,Mapleton City of,762,Bromodichloromethane,3.7,0.06,0,ppb,61.66666666666667
ND,Mapleton,58002.0,Mapleton City of,762,Chloroform,9.16,0.4,0,ppb,22.9
ND,Mapleton,58002.0,Mapleton City of,762,Dibromoacetic acid,0.821,0.04,0,ppb,20.525
ND,Mapleton,58002.0,Mapleton City of,762,Dibromochloromethane,1.12,0.1,0,ppb,11.200000000000001
ND,Mapleton,58002.0,Mapleton City of,762,Dichloroacetic acid,4.97,0.2,0,ppb,24.849999999999998
ND,Mapleton,58002.0,Mapleton City of,762,Haloacetic acids (HAA5)†,10.0,0.1,60,ppb,100.0
ND,Mapleton,58002.0,Mapleton City of,762,Total trihalomethanes (TTHMs)†,14.0,0.15,80,ppb,93.33333333333334
ND,Mapleton,58002.0,Mapleton City of,762,Trichloroacetic acid,3.92,0.1,0,ppb,39.199999999999996
ND,Mapleton,58002.0,Mapleton City of,762,Monochloroacetic acid,0.326,53.0,0,ppb,0.006150943396226415
ND,Leonard,58002.0,Oxbow City of,305,Dichloroacetic acid,1.83,0.2,0,ppb,9.15
ND,Leonard,58002.0,Oxbow City of,305,Haloacetic acids (HAA5)†,2.82,0.1,60,ppb,28.199999999999996
ND,Leonard,58002.0,Oxbow City of,305,Radium combined (-226 &amp; -228),0.52,0.05,5,pCi/L,10.4
ND,Leonard,58002.0,Oxbow City of,305,Total trihalomethanes (TTHMs)†,0.69,0.15,80,ppb,4.6
ND,Leonard,58002.0,Oxbow City of,305,Barium,106.0,700.0,2000,ppb,0.15142857142857144
ND,Leonard,58002.0,Oxbow City of,305,Chloroform,0.69,0.4,0,ppb,1.7249999999999999
ND,Leonard,58002.0,Oxbow City of,305,Manganese,51.0,100.0,0,ppb,0.51
ND,Leonard,58002.0,Oxbow City of,305,Monobromoacetic acid,0.99,25.0,0,ppb,0.039599999999999996
ND,Leonard,58002.0,Oxbow City of,305,Nitrate and nitrite,0.0283,0.14,10,ppm,0.20214285714285712
ND,Leonard,58002.0,Oxbow City of,305,Selenium,1.49,30.0,50,ppb,0.049666666666666665
ND,Leonard,58002.0,Oxbow City of,305,Uranium,0.15,0.43,20,pCi/L,0.3488372093023256
ND,Page,58002.0,Page City of,232,Arsenic,1.35,0.004,10,ppb,337.5
ND,Page,58002.0,Page City of,232,Haloacetic acids (HAA5)†,42.7,0.1,60,ppb,427.0
ND,Page,58002.0,Page City of,232,Radium combined (-226 &amp; -228),0.5,0.05,5,pCi/L,10.0
ND,Page,58002.0,Page City of,232,Total trihalomethanes (TTHMs)†,66.1,0.15,80,ppb,440.66666666666663
